planet_name,num_planets,period,axis,density,distance,mass_e,radius_e,star_temp,star_mass,star_radius,star_type_num,star_type,disc_method,link
2MASS J04414489+2301513 b,1,,15,,140,2383.6,,,0.02,,6.85,M8.5,Imaging,http://exoplanet.eu/catalog/2m_044144_b/
2MASS J12073346-3932539 b,1,,46,,52.4,1271,,,0.02,,6.8,M8,Imaging,http://exoplanet.eu/catalog/2m1207_b/
2MASS J19383260+4603591 b,1,416,0.92,,,603.877,,,0.48,,,,Eclipse Timing Variations,
51 Eri b,1,,13.2,,29.4,635.66,,,1.75,,3,F0 IV,Imaging,
AB Pic b,1,,260,,45.52,4290.5,,,,,5.2,K2 V,Imaging,http://exoplanet.eu/catalog/ab_pic_b/
BD-13 2130 b,1,714.3,2.1,,766,,,,2.4,,4.5,G5 IV/V,Radial Velocity,http://exoplanet.eu/catalog/ngc_2423_3_b/
CHXR 73 b,1,,210,,,3994.486,,,0.35,,6.35,M3.5,Imaging,http://exoplanet.eu/catalog/chxr_73_b/
CT Cha b,1,,440,,165,5403,24.66,,,,,,Imaging,http://exoplanet.eu/catalog/ct_cha_b/
DENIS-P J082303.1-491201 b,1,246.36,0.36,,20.77,9057.77,,,0.07,,7.15,L1.5,Astrometry,
DH Tau b,1,,330,,140,3496,,,0.33,0.27,6.05,M0.5,Imaging,http://exoplanet.eu/catalog/dh_tau_b/
DP Leo b,1,10220,8.19,,,,,,0.69,,,,Eclipse Timing Variations,http://exoplanet.eu/catalog/dp_leo_b/
FU Tau b,1,,800,,,4993.107,,,,,,,Imaging,http://exoplanet.eu/catalog/fu_tau_b/
Fomalhaut b,1,555530,160,,7.69,,,,2,,2.3,A3 V,Imaging,http://exoplanet.eu/catalog/fomalhaut_b/
GJ 3634 b,1,2.64561,0.0287,,19.8,8.4,,,0.45,0.43,6.25,M2.5,Radial Velocity,http://exoplanet.eu/catalog/gj_3634_b/
GJ 436 b,1,2.64388312,0.0291,1.8,10.23,22.1,4.17,,0.47,0.46,6.25,M2.5 V,Radial Velocity,http://exoplanet.eu/catalog/gj_436_b/
GJ 581 b,3,5.3686,0.04061,,6.27,,,,0.31,0.29,6.3,M3 V,Radial Velocity,http://exoplanet.eu/catalog/gl_581_b/
GJ 581 c,3,12.914,0.0721,,6.27,,,,0.31,0.29,6.3,M3 V,Radial Velocity,http://exoplanet.eu/catalog/gl_581_c/
GJ 581 e,3,3.149,0.02815,,6.27,,,,0.31,0.29,6.3,M3 V,Radial Velocity,http://exoplanet.eu/catalog/gl_581_e/
GJ 676 A b,3,1050.3,1.8,,16.13,,,,0.71,,6,M0 V,Radial Velocity,http://exoplanet.eu/catalog/gj_676a_b/
GJ 676 A d,3,3.6,0.0413,,16.13,,,,0.71,,6,M0 V,Radial Velocity,
GJ 676 A e,3,35.37,0.187,,16.13,,,,0.71,,6,M0 V,Radial Velocity,
